Gene	Score	Prediction	Annotation	Comment	Rank gradR analysis
slr6067	-0,0893936039	Non RNA-binding protein			
slr6008	-0,0893936039	Non RNA-binding protein			
slr6067	-0,0893936039	Non RNA-binding protein			
sll1488	-0,0916953566	Non RNA-binding protein			
sll0575	-0,0919187763	Non RNA-binding protein			
ssl0739	-0,0921003499	Non RNA-binding protein			
slr2032	-0,0929058903	Non RNA-binding protein			
slr1265	-0,0954174227	Non RNA-binding protein			
sll1296	-0,0959165742	Non RNA-binding protein			
ssr1736	-0,0963201165	Non RNA-binding protein			
slr1142	-0,096895543	Non RNA-binding protein			
ssr1552	-0,0977481817	Non RNA-binding protein			
sll0684	-0,0977868165	Non RNA-binding protein			
slr0737	-0,1001634856	Non RNA-binding protein			
ssl5008	-0,100538998	Non RNA-binding protein			
sll1484	-0,1008886021	Non RNA-binding protein			
slr1096	-0,101079949	Non RNA-binding protein			
sll1873	-0,1023902797	Non RNA-binding protein			
ssr3122	-0,1045849286	Non RNA-binding protein			
sll1740	-0,1061722635	Non RNA-binding protein			
slr0311	-0,1062972376	Non RNA-binding protein			
sll0016	-0,1063336449	Non RNA-binding protein			
sll0207	-0,1066963176	Non RNA-binding protein			
slr0267	-0,1091149624	Non RNA-binding protein			
slr0252	-0,1091582676	Non RNA-binding protein			
ssl0467	-0,1103949886	Non RNA-binding protein			
sll1726	-0,1104273801	Non RNA-binding protein			
slr1139	-0,1134582306	Non RNA-binding protein			
slr0447	-0,1136381641	Non RNA-binding protein			
sll5072	-0,1137364111	Non RNA-binding protein			
sll1327	-0,1150870432	Non RNA-binding protein			
sll0410	-0,1160627235	Non RNA-binding protein			
sll0086	-0,1160932218	Non RNA-binding protein			
slr2141	-0,1168895388	Non RNA-binding protein			
ssr1238	-0,1172106566	Non RNA-binding protein		YlxR homolog_cf. master thesis Anna Miucci	
sll1563	-0,1193848724	Non RNA-binding protein			
sll0643	-0,1195677743	Non RNA-binding protein			
slr7068	-0,1199687349	Non RNA-binding protein			
slr0285	-0,1210607971	Non RNA-binding protein			
slr2026	-0,1217668644	Non RNA-binding protein			
slr1617	-0,1220731597	Non RNA-binding protein			
sll1771	-0,1243029449	Non RNA-binding protein			
sll1217	-0,1264175828	Non RNA-binding protein			
slr1829	-0,1270503296	Non RNA-binding protein			
sll0781	-0,1270830892	Non RNA-binding protein			
sll7078	-0,130396176	Non RNA-binding protein			
slr1222	-0,1329435841	Non RNA-binding protein			
sll1533	-0,1347173651	Non RNA-binding protein			
slr0635	-0,1381763816	Non RNA-binding protein			
sll8049	-0,1382789714	Non RNA-binding protein			
slr1255	-0,1394671265	Non RNA-binding protein			
sll1945	-0,1397342947	Non RNA-binding protein			
sll0683	-0,1405052637	Non RNA-binding protein			
slr0314	-0,1414212514	Non RNA-binding protein			
slr0848	-0,1426659573	Non RNA-binding protein			
slr0009	-0,1437870899	Non RNA-binding protein			
slr6038	-0,1448321384	Non RNA-binding protein			
sll8049	-0,1458977813	Non RNA-binding protein			
slr1564	-0,1459289134	Non RNA-binding protein			
sll0555	-0,1460293682	Non RNA-binding protein			
sll1481	-0,1483917561	Non RNA-binding protein			
sll1452	-0,1484494587	Non RNA-binding protein			
slr1534	-0,1490845039	Non RNA-binding protein			
slr0851	-0,1496760299	Non RNA-binding protein			
slr6063	-0,1499269113	Non RNA-binding protein			
slr6063	-0,1499269113	Non RNA-binding protein			
sll5063	-0,1500847207	Non RNA-binding protein			
ssl1326	-0,1502475469	Non RNA-binding protein			
slr0633	-0,1508003312	Non RNA-binding protein			
slr0197	-0,1519130508	Non RNA-binding protein			
sll1430	-0,1522939833	Non RNA-binding protein			
ssr0109	-0,1526601288	Non RNA-binding protein			
slr0651	-0,1540811069	Non RNA-binding protein			
sll5072	-0,1551021824	Non RNA-binding protein			
slr1722	-0,1554942284	Non RNA-binding protein			
slr0898	-0,1556351882	Non RNA-binding protein			
sll1323	-0,1576595553	Non RNA-binding protein			
slr2059	-0,1579543191	Non RNA-binding protein			
slr1763	-0,1583221783	Non RNA-binding protein			
slr0487	-0,1588092145	Non RNA-binding protein			
sll1575	-0,1588833262	Non RNA-binding protein			
sll7075	-0,1594656446	Non RNA-binding protein			
ssr1698	-0,1598924757	Non RNA-binding protein			
slr2101	-0,160080941	Non RNA-binding protein			
ssl0296	-0,1601961265	Non RNA-binding protein			
slr1649	-0,160426943	Non RNA-binding protein			
slr1942	-0,161031525	Non RNA-binding protein			
slr7024	-0,1618846409	Non RNA-binding protein			
slr7024	-0,1618846409	Non RNA-binding protein			
slr0394	-0,161896401	Non RNA-binding protein			
slr1800	-0,162462392	Non RNA-binding protein			
sll1979	-0,1625173976	Non RNA-binding protein			
sll5063	-0,1626222837	Non RNA-binding protein			
sll1968	-0,1644353836	Non RNA-binding protein			
slr0110	-0,1646603956	Non RNA-binding protein			
ssr0330	-0,1668091883	Non RNA-binding protein			
sll0141	-0,1682083742	Non RNA-binding protein			
slr0229	-0,1686293373	Non RNA-binding protein			
sll1342	-0,1705212666	Non RNA-binding protein			
ssr3452	-0,1709708862	Non RNA-binding protein			
sll1473	-0,171309377	Non RNA-binding protein			
slr0725	-0,1718986834	Non RNA-binding protein			
slr6058	-0,1729667158	Non RNA-binding protein			
slr6058	-0,1729667158	Non RNA-binding protein			
sll1059	-0,1737720374	Non RNA-binding protein			
slr0838	-0,1739728005	Non RNA-binding protein			
sll1457	-0,1745155807	Non RNA-binding protein			
sll0398	-0,1748476001	Non RNA-binding protein			
slr1254	-0,1786534611	Non RNA-binding protein			
sll0250	-0,1788064607	Non RNA-binding protein			
sll1654	-0,1803595342	Non RNA-binding protein			
slr0300	-0,1815959755	Non RNA-binding protein			
slr8021	-0,1821997002	Non RNA-binding protein			
slr8021	-0,1821997002	Non RNA-binding protein			
slr6096	-0,1830348416	Non RNA-binding protein			
slr6096	-0,1830348416	Non RNA-binding protein			
slr0001	-0,1832305177	Non RNA-binding protein			
sll0395	-0,1875887515	Non RNA-binding protein			
slr6033	-0,1881329633	Non RNA-binding protein			
slr6033	-0,1881329633	Non RNA-binding protein			
sll0295	-0,1882084961	Non RNA-binding protein			
sll0520	-0,1887949748	Non RNA-binding protein			
slr1022	-0,1909780831	Non RNA-binding protein			
ssl0546	-0,1916357976	Non RNA-binding protein			
slr6001	-0,1925310377	Non RNA-binding protein			
sll1366	-0,1932275043	Non RNA-binding protein			
sll1157	-0,1948697296	Non RNA-binding protein			
slr0748	-0,1949379069	Non RNA-binding protein			
slr1368	-0,1958267191	Non RNA-binding protein			
slr0393	-0,196102213	Non RNA-binding protein			
sml0012	-0,1962766565	Non RNA-binding protein			
sll0375	-0,1970126936	Non RNA-binding protein			
sll1525	-0,1973169907	Non RNA-binding protein			
sll0467	-0,1986201186	Non RNA-binding protein			
sll0617	-0,1990234058	Non RNA-binding protein			
slr6001	-0,1990390803	Non RNA-binding protein			
sll0240	-0,1990855473	Non RNA-binding protein			
slr1224	-0,1997206199	Non RNA-binding protein			
sll0144	-0,2001875449	Non RNA-binding protein			
sll0567	-0,2006565116	Non RNA-binding protein			
slr0185	-0,2009451438	Non RNA-binding protein			
slr0214	-0,2014231004	Non RNA-binding protein			
slr0049	-0,2021654643	Non RNA-binding protein			
sll0412	-0,2026571878	Non RNA-binding protein			
sll0154	-0,2041581495	Non RNA-binding protein			
slr1234	-0,2044244224	Non RNA-binding protein			
slr7037	-0,2047250526	Non RNA-binding protein			
slr7037	-0,2047250526	Non RNA-binding protein			
slr7068	-0,2065043557	Non RNA-binding protein			
slr0922	-0,2071992267	Non RNA-binding protein			
sll1535	-0,2086132182	Non RNA-binding protein			
sll1326	-0,2087877309	Non RNA-binding protein			
slr6090	-0,2092025334	Non RNA-binding protein			
slr6090	-0,2092025334	Non RNA-binding protein			
ssr2710	-0,2096166253	Non RNA-binding protein			
sll1503	-0,2097256946	Non RNA-binding protein			
sll1061	-0,2102466261	Non RNA-binding protein			
sll1496	-0,2108942072	Non RNA-binding protein			
slr0953	-0,2111818306	Non RNA-binding protein			
slr0962	-0,2118572902	Non RNA-binding protein			
slr1877	-0,2128704971	Non RNA-binding protein			
ssr0332	-0,2134728333	Non RNA-binding protein			
slr1396	-0,213911354	Non RNA-binding protein			
sll0195	-0,2139721265	Non RNA-binding protein			
sll5090	-0,2147161978	Non RNA-binding protein			
sll5090	-0,2147161978	Non RNA-binding protein			
slr0809	-0,2152357613	Non RNA-binding protein			
slr7016	-0,2160938983	Non RNA-binding protein			
slr7016	-0,2160938983	Non RNA-binding protein			
slr0172	-0,2161738264	Non RNA-binding protein			
sll1483	-0,2169878671	Non RNA-binding protein			
slr1977	-0,2177019966	Non RNA-binding protein			
sll1443	-0,2178642112	Non RNA-binding protein			
slr1283	-0,2183874612	Non RNA-binding protein			
slr1106	-0,2196664546	Non RNA-binding protein			
slr1093	-0,2214876294	Non RNA-binding protein			
slr0216	-0,2250976224	Non RNA-binding protein			
sll0895	-0,2259290985	Non RNA-binding protein			
sll7090	-0,2263201698	Non RNA-binding protein	Cas10-Cmr2		841 right
sll1508	-0,2267847773	Non RNA-binding protein			
sll0792	-0,2271220545	Non RNA-binding protein			
slr1289	-0,2278361672	Non RNA-binding protein			
sll1625	-0,2280551394	Non RNA-binding protein			
ssr6089	-0,2295837125	Non RNA-binding protein			
ssr6089	-0,2295837125	Non RNA-binding protein			
ssl5008	-0,2302705052	Non RNA-binding protein			
sll1226	-0,2314566276	Non RNA-binding protein			
slr1318	-0,2315502871	Non RNA-binding protein			
sll1110	-0,2331068948	Non RNA-binding protein			
ssl0461	-0,2337341392	Non RNA-binding protein			
slr0304	-0,2344983875	Non RNA-binding protein			
slr1974	-0,2347229204	Non RNA-binding protein	Ribosome biogenesis factor; der		9 right
ssl5129	-0,2349277095	Non RNA-binding protein			
ssl5129	-0,2349277095	Non RNA-binding protein			
ssr2227	-0,235069643	Non RNA-binding protein			
sll1682	-0,23599696	Non RNA-binding protein			
ssl1004	-0,2367719062	Non RNA-binding protein			
slr0148	-0,2379783506	Non RNA-binding protein			
slr1256	-0,2393289177	Non RNA-binding protein			
slr0734	-0,2395555942	Non RNA-binding protein			
sll1723	-0,2416837943	Non RNA-binding protein			
slr0318	-0,2417104666	Non RNA-binding protein			
sll7066	-0,2424162069	Non RNA-binding protein			
slr1332	-0,244534376	Non RNA-binding protein			
sll1454	-0,2449557695	Non RNA-binding protein			
slr1119	-0,245591609	Non RNA-binding protein			
sll0927	-0,2464564279	Non RNA-binding protein			
sll7090	-0,2464689248	Non RNA-binding protein			
sll7030	-0,2479357595	Non RNA-binding protein			
sll7030	-0,2479357595	Non RNA-binding protein			
sll0810	-0,2488916046	Non RNA-binding protein			
ssl0331	-0,2489193668	Non RNA-binding protein			
sll0812	-0,2491648129	Non RNA-binding protein			
sll1408	-0,2499777974	Non RNA-binding protein			
slr2030	-0,2499921216	Non RNA-binding protein			
slr1115	-0,2500476132	Non RNA-binding protein			
slr0407	-0,2505771514	Non RNA-binding protein			
slr0392	-0,2510415925	Non RNA-binding protein			
slr1134	-0,2538726795	Non RNA-binding protein			
sll0712	-0,2576280634	Non RNA-binding protein			
slr1748	-0,2578602527	Non RNA-binding protein			
ssl7021	-0,2583437623	Non RNA-binding protein			
sll5057	-0,2612693927	Non RNA-binding protein			
sll5057	-0,2612693927	Non RNA-binding protein			
sll1249	-0,2624247023	Non RNA-binding protein			
sll1902	-0,2630879163	Non RNA-binding protein			
slr1743	-0,2631370083	Non RNA-binding protein			
sll1479	-0,2631871468	Non RNA-binding protein			
slr1090	-0,2670878494	Non RNA-binding protein			
slr0362	-0,2674548222	Non RNA-binding protein			
ssr2843	-0,26841604	Non RNA-binding protein			
slr1751	-0,2697083139	Non RNA-binding protein			
ssl0769	-0,2700734707	Non RNA-binding protein			
sll0863	-0,271674925	Non RNA-binding protein			
sll1074	-0,2727372053	Non RNA-binding protein			
sll0176	-0,2727454277	Non RNA-binding protein			
slr1397	-0,2731170235	Non RNA-binding protein			
slr1128	-0,2736597566	Non RNA-binding protein			
sll0175	-0,2744424368	Non RNA-binding protein			
slr1677	-0,2749373029	Non RNA-binding protein			
sll0100	-0,275739295	Non RNA-binding protein			
ssl7021	-0,27710031	Non RNA-binding protein			
sll0920	-0,2773158385	Non RNA-binding protein			
slr1167	-0,2773195379	Non RNA-binding protein			
sll1663	-0,2775752287	Non RNA-binding protein			
sll1659	-0,27765641	Non RNA-binding protein			
sll0658	-0,2795135544	Non RNA-binding protein			
slr0455	-0,2800350886	Non RNA-binding protein	Polyhydroxyalkanoate synthesis regulator phasin		25, right
slr6102	-0,2806603107	Non RNA-binding protein			
sll5094	-0,2806760527	Non RNA-binding protein			
sll5094	-0,2806760527	Non RNA-binding protein			
sll0409	-0,2809476805	Non RNA-binding protein			
slr0645	-0,2816205641	Non RNA-binding protein			
slr6102	-0,2817742489	Non RNA-binding protein			
sll1770	-0,2836227777	Non RNA-binding protein			
sll0998	-0,2839102307	Non RNA-binding protein			
sll1324	-0,2841844572	Non RNA-binding protein			
sll2015	-0,2848217715	Non RNA-binding protein			
ssr6048	-0,2857245186	Non RNA-binding protein			
ssr6048	-0,2857245186	Non RNA-binding protein			
sll1730	-0,2865151349	Non RNA-binding protein			
sll1863	-0,2868811808	Non RNA-binding protein			
slr1648	-0,2904466072	Non RNA-binding protein			
slr1393	-0,2907972122	Non RNA-binding protein			
sll8048	-0,2908951313	Non RNA-binding protein			
sll8048	-0,2908951313	Non RNA-binding protein			
sll0911	-0,2935949952	Non RNA-binding protein			
slr0675	-0,2967768265	Non RNA-binding protein			
slr0270	-0,2970766834	Non RNA-binding protein			
sll1747	-0,2971765768	Non RNA-binding protein			
slr1455	-0,2973786675	Non RNA-binding protein			
ssl3379	-0,2994893126	Non RNA-binding protein			
slr1573	-0,2995423927	Non RNA-binding protein			
slr0328	-0,2999257049	Non RNA-binding protein			
slr0291	-0,3005209354	Non RNA-binding protein			
slr0236	-0,30128287	Non RNA-binding protein			
sll1764	-0,3018992493	Non RNA-binding protein			
slr1732	-0,3020573356	Non RNA-binding protein			
slr1020	-0,3035258795	Non RNA-binding protein			
slr1083	-0,3039975104	Non RNA-binding protein			
slr1848	-0,3045739011	Non RNA-binding protein			
ssl3719	-0,3048819406	Non RNA-binding protein			
slr0668	-0,3062338464	Non RNA-binding protein			
slr0895	-0,3076029321	Non RNA-binding protein			
ssl5027	-0,3076283103	Non RNA-binding protein			
ssl5027	-0,3076283103	Non RNA-binding protein			
sll1653	-0,3089954245	Non RNA-binding protein			
slr0363	-0,3099025918	Non RNA-binding protein			
sll1815	-0,310178507	Non RNA-binding protein			
sll1586	-0,3104587578	Non RNA-binding protein			
slr0313	-0,3104855049	Non RNA-binding protein			
slr0609	-0,3110998835	Non RNA-binding protein			
slr6029	-0,3112130377	Non RNA-binding protein			
slr6088	-0,3112130377	Non RNA-binding protein			
slr6029	-0,3112130377	Non RNA-binding protein			
slr6088	-0,3112130377	Non RNA-binding protein			
slr1166	-0,3122997826	Non RNA-binding protein			
sll0807	-0,3130104322	Non RNA-binding protein			
slr1530	-0,3137689161	Non RNA-binding protein			
slr1251	-0,314529505	Non RNA-binding protein			
slr1791	-0,3148148399	Non RNA-binding protein			
slr0011	-0,3151522036	Non RNA-binding protein			
ssr2009	-0,3154516558	Non RNA-binding protein			
sll5006	-0,3159201842	Non RNA-binding protein			
sll5006	-0,3159201842	Non RNA-binding protein			
ssr6062	-0,3166783625	Non RNA-binding protein			
ssr6062	-0,3166783625	Non RNA-binding protein			
sll0455	-0,3171891063	Non RNA-binding protein			
sll5109	-0,31769558	Non RNA-binding protein			
sll5109	-0,31769558	Non RNA-binding protein			
sll1639	-0,3180857018	Non RNA-binding protein			
sll0891	-0,3197132545	Non RNA-binding protein			
sll1520	-0,3205394713	Non RNA-binding protein			
ssl7042	-0,3234480939	Non RNA-binding protein			
ssl7042	-0,3234480939	Non RNA-binding protein			
sll0418	-0,3237135158	Non RNA-binding protein			
sll0757	-0,3237850094	Non RNA-binding protein			
slr0787	-0,325063136	Non RNA-binding protein			
ssr2803	-0,3257915458	Non RNA-binding protein			
sll1037	-0,3258878418	Non RNA-binding protein			
slr1597	-0,3280243776	Non RNA-binding protein			
slr0904	-0,3283312575	Non RNA-binding protein			
sll1432	-0,3302277669	Non RNA-binding protein			
sll1686	-0,3321291767	Non RNA-binding protein			
slr6021	-0,3344254896	Non RNA-binding protein			
slr6080	-0,3344254896	Non RNA-binding protein			
slr6021	-0,3344254896	Non RNA-binding protein			
slr6080	-0,3344254896	Non RNA-binding protein			
sll0497	-0,3345372104	Non RNA-binding protein			
slr0191	-0,33462966	Non RNA-binding protein			
sll0379	-0,3352500524	Non RNA-binding protein			
sll1280	-0,3352644095	Non RNA-binding protein			
sll1868	-0,3353891291	Non RNA-binding protein			
sll0821	-0,3368406492	Non RNA-binding protein			
slr0477	-0,3382556405	Non RNA-binding protein			
sll0318	-0,3393325271	Non RNA-binding protein			
sll0330	-0,339739512	Non RNA-binding protein			
sll0053	-0,3403799083	Non RNA-binding protein			
slr1444	-0,3411565582	Non RNA-binding protein			
ssl2648	-0,3417014299	Non RNA-binding protein			
slr1923	-0,343048413	Non RNA-binding protein			
slr7080	-0,3433987571	Non RNA-binding protein			
slr7080	-0,3433987571	Non RNA-binding protein			
slr2072	-0,3439169902	Non RNA-binding protein			
slr0436	-0,3443651851	Non RNA-binding protein			
slr0600	-0,3445853737	Non RNA-binding protein			
sll1286	-0,3461253457	Non RNA-binding protein			
sll1852	-0,346583513	Non RNA-binding protein			
sll1265	-0,3500681717	Non RNA-binding protein			
ssr0759	-0,3504117453	Non RNA-binding protein			
ssl8010	-0,3511417115	Non RNA-binding protein			
ssl8010	-0,3511417115	Non RNA-binding protein			
sll0396	-0,3519282511	Non RNA-binding protein			
sll1363	-0,3522364496	Non RNA-binding protein			
slr0315	-0,3529381088	Non RNA-binding protein			
slr1815	-0,3535514979	Non RNA-binding protein			
slr1919	-0,3542436416	Non RNA-binding protein			
